statistic_yyy,ranking,lastname,age,population
112,169,蒲,15~64歲,2143
112,169,蒲,65歲以上,565
112,170,郝,0~14歲,300
112,170,郝,15~64歲,2215
112,170,郝,65歲以上,477
112,171,谷,0~14歲,405
112,171,谷,15~64歲,2112
112,171,谷,65歲以上,380
112,172,成,0~14歲,329
112,172,成,15~64歲,2116
112,172,成,65歲以上,449
112,173,邢,0~14歲,286
112,173,邢,15~64歲,2106
112,173,邢,65歲以上,483
112,174,練,0~14歲,313
112,174,練,15~64歲,2010
112,174,練,65歲以上,505
112,175,閻,0~14歲,309
112,175,閻,15~64歲,2084
112,175,閻,65歲以上,393
112,176,鄔,0~14歲,286
112,176,鄔,15~64歲,1965
112,176,鄔,65歲以上,532
112,177,陽,0~14歲,445
112,177,陽,15~64歲,2005
112,177,陽,65歲以上,277
112,178,盛,0~14歲,269
112,178,盛,15~64歲,1967
112,178,盛,65歲以上,457
112,179,常,0~14歲,273
112,179,常,15~64歲,2015
112,179,常,65歲以上,403
112,180,符,0~14歲,247
112,180,符,15~64歲,2045
112,180,符,65歲以上,370
112,181,耿,0~14歲,275
112,181,耿,15~64歲,1967
112,181,耿,65歲以上,407
112,182,解,0~14歲,265
112,182,解,15~64歲,1897
112,182,解,65歲以上,474
112,183,繆,0~14歲,272
112,183,繆,15~64歲,1918
112,183,繆,65歲以上,444
112,184,申,0~14歲,288
112,184,申,15~64歲,1968
112,184,申,65歲以上,368
112,185,聶,0~14歲,284
112,185,聶,15~64歲,1941
112,185,聶,65歲以上,399
112,186,祝,0~14歲,269
112,186,祝,15~64歲,1899
112,186,祝,65歲以上,413
112,187,岳,0~14歲,293
112,187,岳,15~64歲,1853
112,187,岳,65歲以上,394
112,188,曲,0~14歲,228
112,188,曲,15~64歲,1818
112,188,曲,65歲以上,392
112,189,籃,0~14歲,280
112,189,籃,15~64歲,1672
112,189,籃,65歲以上,461
112,190,齊,0~14歲,228
112,190,齊,15~64歲,1752
112,190,齊,65歲以上,415
112,191,應,0~14歲,233
112,191,應,15~64歲,1609
112,191,應,65歲以上,448
112,192,舒,0~14歲,235
112,192,舒,15~64歲,1663
112,192,舒,65歲以上,348
112,193,單,0~14歲,254
112,193,單,15~64歲,1659
112,193,單,65歲以上,314
112,194,喬,0~14歲,214
112,194,喬,15~64歲,1660
112,194,喬,65歲以上,346
112,195,畢,0~14歲,218
112,195,畢,15~64歲,1612
112,195,畢,65歲以上,368
112,196,留,0~14歲,253
112,196,留,15~64歲,1555
112,196,留,65歲以上,385
112,197,鄞,0~14歲,255
112,197,鄞,15~64歲,1555
112,197,鄞,65歲以上,375
112,198,翟,0~14歲,196
112,198,翟,15~64歲,1559
112,198,翟,65歲以上,371
112,199,牛,0~14歲,206
112,199,牛,15~64歲,1582
112,199,牛,65歲以上,323
112,200,龎,0~14歲,193
112,200,龎,15~64歲,1518
112,200,龎,65歲以上,388
112,201,覃,0~14歲,194
112,201,覃,15~64歲,1682
112,201,覃,65歲以上,211
112,202,季,0~14歲,195
112,202,季,15~64歲,1497
112,202,季,65歲以上,344
112,203,項,0~14歲,190
112,203,項,15~64歲,1506
112,203,項,65歲以上,281
112,204,卜,0~14歲,177
112,204,卜,15~64歲,1448
112,204,卜,65歲以上,349
112,205,𡍼,0~14歲,253
112,205,𡍼,15~64歲,1324
112,205,𡍼,65歲以上,393
112,206,喻,0~14歲,174
112,206,喻,15~64歲,1451
112,206,喻,65歲以上,271
112,207,商,0~14歲,205
112,207,商,15~64歲,1366
112,207,商,65歲以上,306
112,208,買,0~14歲,194
112,208,買,15~64歲,1323
112,208,買,65歲以上,333
112,209,滕,0~14歲,191
112,209,滕,15~64歲,1383
112,209,滕,65歲以上,267
112,210,焦,0~14歲,169
112,210,焦,15~64歲,1349
112,210,焦,65歲以上,268
112,211,車,0~14歲,185
112,211,車,15~64歲,1321
112,211,車,65歲以上,269
112,212,力,0~14歲,204
112,212,力,15~64歲,1249
112,212,力,65歲以上,275
112,213,雲,0~14歲,254
112,213,雲,15~64歲,1206
112,213,雲,65歲以上,236
112,214,艾,0~14歲,236
112,214,艾,15~64歲,1276
112,214,艾,65歲以上,176
112,215,虞,0~14歲,141
112,215,虞,15~64歲,1248
112,215,虞,65歲以上,299
112,216,苗,0~14歲,175
112,216,苗,15~64歲,1209
112,216,苗,65歲以上,292
112,217,戚,0~14歲,154
112,217,戚,15~64歲,1184
112,217,戚,65歲以上,313
112,218,巴,0~14歲,236
112,218,巴,15~64歲,1178
112,218,巴,65歲以上,236
112,219,牟,0~14歲,108
112,219,牟,15~64歲,1221
112,219,牟,65歲以上,267
